[0.466s] Invoking command in '/home/qty/ros2_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/qty/ros2_ws/install/hoverboard_controller:/opt/ros/foxy /usr/bin/cmake --build /home/qty/ros2_ws/build/articubot_one -- -j16 -l16
[0.624s] Invoked command in '/home/qty/ros2_ws/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/qty/ros2_ws/install/hoverboard_controller:/opt/ros/foxy /usr/bin/cmake --build /home/qty/ros2_ws/build/articubot_one -- -j16 -l16
[0.752s] Invoking command in '/home/qty/ros2_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/qty/ros2_ws/install/hoverboard_controller:/opt/ros/foxy /usr/bin/cmake --install /home/qty/ros2_ws/build/articubot_one
[0.779s] -- Install configuration: ""
[0.781s] -- Execute custom install script
[0.781s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_robot.yaml
[0.781s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_sim.yaml
[0.782s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/drive_bot.rviz
[0.782s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/empty.yaml
[0.782s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/gaz_ros2_ctl_use_sim.yaml
[0.782s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/gazebo_params.yaml
[0.783s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/joystick.yaml
[0.783s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/main.rviz
[0.783s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/map.rviz
[0.784s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/mapper_params_online_async.yaml
[0.784s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/my_controllers.yaml
[0.784s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/nav2_params.yaml
[0.784s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/twist_mux.yaml
[0.786s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/config/view_bot.rviz
[0.789s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/camera.xacro
[0.794s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/depth_camera.xacro
[0.796s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/face.xacro
[0.797s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/gazebo_control.xacro
[0.799s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/inertial_macros.xacro
[0.799s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/lidar.xacro
[0.799s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/robot.urdf.xacro
[0.800s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/robot_core.xacro
[0.813s] -- Up-to-date symlink: /home/qty/ros2_ws/install/articubot_one/share/articubot_one/description/ros2_control.xacro
